gene_id	CHROM	POS	STRAND	gene_name	gene_locus	reg_locus	promoter
ENSG00000197785	chr1	1447554	+	ATAD3A	chr1:1447531-1470067	chr1:1408147-1474738	chr1:1442554-1448553
ENSG00000205090	chr1	1475737	-	TMEM240	chr1:1470554-1475833	chr1:1448553-1509250	chr1:1474738-1480737
ENSG00000160075	chr1	1510249	-	SSU72	chr1:1477053-1510249	chr1:1480737-1534477	chr1:1509250-1515249
ENSG00000228594	chr1	1535476	-	C1orf233	chr1:1533392-1535476	chr1:1515249-1545822	chr1:1534477-1540476
ENSG00000197530	chr1	1550822	+	MIB2	chr1:1550795-1565990	chr1:1540476-1562473	chr1:1545822-1551821
ENSG00000189409	chr1	1567473	+	MMP23B	chr1:1567474-1570639	chr1:1551821-1587936	chr1:1562473-1568472
ENSG00000248333	chr1	1588935	-	CDK11B	chr1:1570603-1590473	chr1:1568472-1623084	chr1:1587936-1593935
ENSG00000189339	chr1	1624083	-	SLC35E2B	chr1:1592939-1624167	chr1:1593935-1654764	chr1:1623084-1629083
ENSG00000008128	chr1	1655763	-	CDK11A	chr1:1634169-1655766	chr1:1629083-1676432	chr1:1654764-1660763
ENSG00000215790	chr1	1677431	-	SLC35E2	chr1:1656277-1677431	chr1:1660763-1708910	chr1:1676432-1682431
ENSG00000008130	chr1	1709909	-	NADK	chr1:1682671-1711896	chr1:1682431-1821496	chr1:1708910-1714909
ENSG00000078369	chr1	1822495	-	GNB1	chr1:1716729-1822495	chr1:1714909-1841265	chr1:1821496-1827495
ENSG00000169885	chr1	1846265	+	CALML6	chr1:1846266-1848735	chr1:1827495-1849713	chr1:1841265-1847264
ENSG00000178821	chr1	1850712	-	TMEM52	chr1:1849029-1850712	chr1:1847264-1886155	chr1:1849713-1855712
ENSG00000142609	chr1	1887154	-	C1orf222	chr1:1853396-1935276	chr1:1855712-1945779	chr1:1886155-1892154
ENSG00000187730	chr1	1950779	+	GABRD	chr1:1950780-1962192	chr1:1892154-1976908	chr1:1945779-1951778
ENSG00000067606	chr1	1981908	+	PRKCZ	chr1:1981909-2116834	chr1:1951778-2125214	chr1:1976908-1982907
ENSG00000162585	chr1	2126213	-	C1orf86	chr1:2115903-2144159	chr1:1982907-2155133	chr1:2125214-2131213
ENSG00000157933	chr1	2160133	+	SKI	chr1:2160134-2241558	chr1:2131213-2318271	chr1:2155133-2161132
ENSG00000157916	chr1	2323271	+	RER1	chr1:2323267-2336883	chr1:2161132-2342970	chr1:2318271-2324270
ENSG00000157911	chr1	2343969	-	PEX10	chr1:2336236-2345236	chr1:2324270-2393897	chr1:2342970-2348969
ENSG00000149527	chr1	2398897	+	PLCH2	chr1:2357419-2436969	chr1:2348969-2457040	chr1:2393897-2399896
ENSG00000157881	chr1	2458039	-	PANK4	chr1:2439972-2458039	chr1:2399896-2463039	chr1:2457040-2463039
ENSG00000197921	chr1	2461684	-	HES5	chr1:2460184-2461684	chr1:2460685-2482804	chr1:2460685-2466684
ENSG00000157873	chr1	2487804	+	TNFRSF14	chr1:2487078-2496821	chr1:2466684-2513213	chr1:2482804-2488803
ENSG00000157870	chr1	2518213	+	FAM213B	chr1:2517930-2522908	chr1:2488803-2563430	chr1:2513213-2519212
ENSG00000142606	chr1	2564429	-	MMEL1	chr1:2522078-2564481	chr1:2519212-2933045	chr1:2563430-2569429
ENSG00000169717	chr1	2938045	+	ACTRT2	chr1:2938046-2939465	chr1:2569429-2980774	chr1:2933045-2939044
ENSG00000142611	chr1	2985774	+	PRDM16	chr1:2985732-3355185	chr1:2939044-3365989	chr1:2980774-2986773
ENSG00000130762	chr1	3370989	+	ARHGEF16	chr1:3370990-3397677	chr1:2986773-3527060	chr1:3365989-3371988
ENSG00000162591	chr1	3528059	-	MEGF6	chr1:3406484-3528059	chr1:3371988-3536565	chr1:3527060-3533059
ENSG00000158109	chr1	3541565	+	TPRG1L	chr1:3541566-3546691	chr1:3533059-3564083	chr1:3536565-3542564
ENSG00000078900	chr1	3569083	+	TP73	chr1:3569084-3652765	chr1:3542564-3570082	chr1:3564083-3570082
ENSG00000116213	chr1	3566637	-	WRAP73	chr1:3547331-3569325	chr1:3565638-3684351	chr1:3565638-3571637
ENSG00000235169	chr1	3689351	+	SMIM1	chr1:3689352-3692546	chr1:3571637-3712069	chr1:3684351-3690350
ENSG00000130764	chr1	3713068	-	LRRC47	chr1:3696784-3713068	chr1:3690350-3768844	chr1:3712069-3718068
ENSG00000169598	chr1	3773844	+	DFFB	chr1:3773845-3801993	chr1:3718068-3774843	chr1:3768844-3774843
ENSG00000116198	chr1	3773763	-	CEP104	chr1:3728645-3773778	chr1:3772764-3815850	chr1:3772764-3778763
ENSG00000198912	chr1	3816849	-	C1orf174	chr1:3805689-3816857	chr1:3778763-4710104	chr1:3815850-3821849
ENSG00000196581	chr1	4715104	+	AJAP1	chr1:4714792-4852594	chr1:3821849-5716103	chr1:4710104-4716103
ENSG00000131697	chr1	6052531	-	NPHP4	chr1:5922871-6052533	chr1:5051532-6100980	chr1:6051532-6057531
ENSG00000069424	chr1	6105980	+	KCNAB2	chr1:6051526-6161253	chr1:6057531-6239184	chr1:6100980-6106979
ENSG00000116254	chr1	6240183	-	CHD5	chr1:6161853-6240183	chr1:6106979-6258673	chr1:6239184-6245183
ENSG00000116251	chr1	6259672	-	RPL22	chr1:6241329-6269449	chr1:6245183-6264672	chr1:6258673-6264672
ENSG00000158286	chr1	6266235	+	RNF207	chr1:6265535-6281359	chr1:6261235-6295001	chr1:6261235-6267234
ENSG00000116237	chr1	6296000	-	ICMT	chr1:6281253-6296032	chr1:6267234-6301000	chr1:6295001-6301000
ENSG00000173673	chr1	6304251	+	HES3	chr1:6304252-6305638	chr1:6299251-6320036	chr1:6299251-6305250
ENSG00000158292	chr1	6321035	-	GPR153	chr1:6307406-6321035	chr1:6305250-6444874	chr1:6320036-6326035
ENSG00000097021	chr1	6445873	-	ACOT7	chr1:6324329-6454451	chr1:6326035-6478980	chr1:6444874-6450873
ENSG00000069812	chr1	6479979	-	HES2	chr1:6472478-6484730	chr1:6450873-6484979	chr1:6478980-6484979
ENSG00000187017	chr1	6484847	+	ESPN	chr1:6484848-6521430	chr1:6479847-6525236	chr1:6479847-6485846
ENSG00000215788	chr1	6526235	-	TNFRSF25	chr1:6521211-6526255	chr1:6485846-6556157	chr1:6525236-6531235
ENSG00000171680	chr1	6557156	-	PLEKHG5	chr1:6526152-6580121	chr1:6531235-6610240	chr1:6556157-6562156
ENSG00000173662	chr1	6615240	+	TAS1R1	chr1:6615241-6639817	chr1:6562156-6616239	chr1:6610240-6616239
ENSG00000162408	chr1	6614595	-	NOL9	chr1:6581407-6614595	chr1:6613596-6635107	chr1:6613596-6619595
ENSG00000204859	chr1	6640107	+	ZBTB48	chr1:6640061-6649340	chr1:6619595-6661930	chr1:6635107-6641106
ENSG00000162413	chr1	6662929	-	KLHL21	chr1:6650784-6674667	chr1:6641106-6668744	chr1:6661930-6667929
ENSG00000116273	chr1	6673744	+	PHF13	chr1:6673745-6684093	chr1:6667929-6679925	chr1:6668744-6674743
ENSG00000041988	chr1	6684925	+	THAP3	chr1:6684926-6695646	chr1:6674743-6760985	chr1:6679925-6685924
ENSG00000007923	chr1	6761984	-	DNAJC11	chr1:6694228-6761984	chr1:6685924-6840383	chr1:6760985-6766984
ENSG00000171735	chr1	6845383	+	CAMTA1	chr1:6845384-7829766	chr1:6766984-7826328	chr1:6840383-6846382
ENSG00000049245	chr1	7831328	+	VAMP3	chr1:7831329-7841492	chr1:6846382-7839762	chr1:7826328-7832327
ENSG00000049246	chr1	7844762	+	PER3	chr1:7844380-7905237	chr1:7832327-7912492	chr1:7839762-7845761
ENSG00000049247	chr1	7913491	-	UTS2	chr1:7903143-7913572	chr1:7845761-7999927	chr1:7912492-7918491
ENSG00000049249	chr1	8000926	-	TNFRSF9	chr1:7979907-8000926	chr1:7918491-8016751	chr1:7999927-8005926
ENSG00000116288	chr1	8021751	+	PARK7	chr1:8014351-8045565	chr1:8005926-8085369	chr1:8016751-8022750
ENSG00000116285	chr1	8086368	-	ERRFI1	chr1:8064464-8086368	chr1:8022750-8372885	chr1:8085369-8091368
ENSG00000162426	chr1	8377885	+	SLC45A1	chr1:8377886-8404227	chr1:8091368-8876525	chr1:8372885-8378884
ENSG00000142599	chr1	8877524	-	RERE	chr1:8412457-8877702	chr1:8378884-8937750	chr1:8876525-8882524
ENSG00000074800	chr1	8938749	-	ENO1	chr1:8921061-8939308	chr1:8882524-9000945	chr1:8937750-8943749
ENSG00000131686	chr1	9005945	+	CA6	chr1:9005926-9035151	chr1:8943749-9085405	chr1:9000945-9006944
ENSG00000197241	chr1	9086404	-	SLC2A7	chr1:9063359-9086404	chr1:9006944-9128776	chr1:9085405-9091404
ENSG00000142583	chr1	9129775	-	SLC2A5	chr1:9095166-9148537	chr1:9091404-9188230	chr1:9128776-9134775
ENSG00000180758	chr1	9189229	-	GPR157	chr1:9160364-9189229	chr1:9134775-9289833	chr1:9188230-9194229
ENSG00000049239	chr1	9294833	+	H6PD	chr1:9294834-9331396	chr1:9194229-9347938	chr1:9289833-9295832
ENSG00000171621	chr1	9352938	+	SPSB1	chr1:9352939-9429591	chr1:9295832-9594540	chr1:9347938-9353937
ENSG00000171612	chr1	9599540	+	SLC25A33	chr1:9599541-9645237	chr1:9353937-9643979	chr1:9594540-9600539
ENSG00000188807	chr1	9648979	+	TMEM201	chr1:9648932-9674935	chr1:9600539-9706802	chr1:9643979-9649978
ENSG00000171608	chr1	9711802	+	PIK3CD	chr1:9711790-9789172	chr1:9649978-9883585	chr1:9706802-9712801
ENSG00000171603	chr1	9884584	-	CLSTN1	chr1:9789084-9884584	chr1:9712801-9969322	chr1:9883585-9889584
ENSG00000178585	chr1	9970321	-	CTNNBIP1	chr1:9908334-9970394	chr1:9889584-9998485	chr1:9969322-9975321
ENSG00000173614	chr1	10003485	+	NMNAT1	chr1:10003486-10045559	chr1:9975321-10004484	chr1:9998485-10004484
ENSG00000162441	chr1	10003387	-	LZIC	chr1:9982173-10003465	chr1:10002388-10052273	chr1:10002388-10008387
ENSG00000162444	chr1	10057273	+	RBP7	chr1:10057264-10076078	chr1:10008387-10088653	chr1:10052273-10058272
ENSG00000130939	chr1	10093653	+	UBE4B	chr1:10092890-10241297	chr1:10058272-10265862	chr1:10088653-10094652
ENSG00000054523	chr1	10270862	+	KIF1B	chr1:10270863-10441661	chr1:10094652-10454136	chr1:10265862-10271861
ENSG00000142657	chr1	10459136	+	PGD	chr1:10458649-10480201	chr1:10271861-10485158	chr1:10454136-10460135
ENSG00000251503	chr1	10490158	+	APITD1-CORT	chr1:10490159-10512210	chr1:10460135-10504775	chr1:10485158-10491157
ENSG00000241563	chr1	10509775	+	CORT	chr1:10509776-10511959	chr1:10491157-10529943	chr1:10504775-10510774
ENSG00000142655	chr1	10534943	+	PEX14	chr1:10532345-10690815	chr1:10510774-10535942	chr1:10529943-10535942
ENSG00000160049	chr1	10532583	-	DFFA	chr1:10516579-10532583	chr1:10531584-10855706	chr1:10531584-10537583
ENSG00000130940	chr1	10856705	-	CASZ1	chr1:10696661-10856707	chr1:10537583-11067698	chr1:10855706-10861705
ENSG00000120948	chr1	11072698	+	TARDBP	chr1:11072414-11085796	chr1:10861705-11106281	chr1:11067698-11073697
ENSG00000009724	chr1	11107280	-	MASP2	chr1:11086580-11107290	chr1:11073697-11119082	chr1:11106281-11112280
ENSG00000116649	chr1	11120081	-	SRM	chr1:11114641-11120081	chr1:11112280-11158939	chr1:11119082-11125081
ENSG00000171824	chr1	11159938	-	EXOSC10	chr1:11126675-11159938	chr1:11125081-11244397	chr1:11158939-11164938
ENSG00000171819	chr1	11249397	+	ANGPTL7	chr1:11249398-11256038	chr1:11164938-11321565	chr1:11244397-11250396
ENSG00000198793	chr1	11322564	-	MTOR	chr1:11166592-11322564	chr1:11250396-11328262	chr1:11321565-11327564
ENSG00000120942	chr1	11333262	+	UBIAD1	chr1:11333263-11356106	chr1:11327564-11534294	chr1:11328262-11334261
ENSG00000204624	chr1	11539294	+	PTCHD2	chr1:11539223-11597641	chr1:11334261-11709913	chr1:11534294-11540293
ENSG00000132879	chr1	11714913	+	FBXO44	chr1:11714432-11723384	chr1:11540293-11715912	chr1:11709913-11715912
ENSG00000116661	chr1	11714739	-	FBXO2	chr1:11708424-11715842	chr1:11713740-11719739	chr1:11713740-11719739
ENSG00000116663	chr1	11724180	+	FBXO6	chr1:11724181-11734411	chr1:11719180-11746785	chr1:11719180-11725179
ENSG00000162490	chr1	11751785	+	DRAXIN	chr1:11751786-11785914	chr1:11725179-11752784	chr1:11746785-11752784
ENSG00000116670	chr1	11751707	-	MAD2L2	chr1:11734537-11751707	chr1:11750708-11791211	chr1:11750708-11756707
ENSG00000177674	chr1	11796211	+	AGTRAP	chr1:11796141-11814859	chr1:11756707-11861267	chr1:11791211-11797210
ENSG00000011021	chr1	11866267	+	CLCN6	chr1:11866207-11903201	chr1:11797210-11867266	chr1:11861267-11867266
ENSG00000177000	chr1	11863302	-	MTHFR	chr1:11845780-11866977	chr1:11862303-11906841	chr1:11862303-11868302
ENSG00000175206	chr1	11907840	-	NPPA	chr1:11905766-11908402	chr1:11868302-11917989	chr1:11906841-11912840
ENSG00000120937	chr1	11918988	-	NPPB	chr1:11917521-11918988	chr1:11912840-11985481	chr1:11917989-11923988
ENSG00000116685	chr1	11986480	-	KIAA2013	chr1:11979648-11986485	chr1:11923988-11991480	chr1:11985481-11991480
ENSG00000083444	chr1	11994809	+	PLOD1	chr1:11994262-12035595	chr1:11989809-12035368	chr1:11989809-11995808
ENSG00000116688	chr1	12040368	+	MFN2	chr1:12040238-12073571	chr1:11995808-12074522	chr1:12035368-12041367
ENSG00000116691	chr1	12079522	+	MIIP	chr1:12079523-12092102	chr1:12041367-12118433	chr1:12074522-12080521
ENSG00000120949	chr1	12123433	+	TNFRSF8	chr1:12123434-12204264	chr1:12080521-12222059	chr1:12118433-12124432
ENSG00000028137	chr1	12227059	+	TNFRSF1B	chr1:12227060-12269285	chr1:12124432-12285123	chr1:12222059-12228058
ENSG00000048707	chr1	12290123	+	VPS13D	chr1:12290124-12572099	chr1:12228058-12676738	chr1:12285123-12291122
ENSG00000162496	chr1	12677737	-	DHRS3	chr1:12627939-12677737	chr1:12291122-12699565	chr1:12676738-12682737
ENSG00000204518	chr1	12704565	+	AADACL4	chr1:12704566-12727097	chr1:12682737-12771145	chr1:12699565-12705564
ENSG00000188984	chr1	12776145	+	AADACL3	chr1:12776118-12788726	chr1:12705564-12829983	chr1:12771145-12777144
ENSG00000116726	chr1	12834983	+	PRAMEF12	chr1:12834984-12838049	chr1:12777144-12846545	chr1:12829983-12835982
ENSG00000116721	chr1	12851545	+	PRAMEF1	chr1:12851546-12856777	chr1:12835982-12890265	chr1:12846545-12852544
ENSG00000204513	chr1	12891264	-	PRAMEF11	chr1:12884468-12891264	chr1:12852544-12907579	chr1:12890265-12896264
ENSG00000179172	chr1	12908578	-	HNRNPCL1	chr1:12907261-12908578	chr1:12896264-12913578	chr1:12907579-12913578
ENSG00000120952	chr1	12916940	+	PRAMEF2	chr1:12916941-12921764	chr1:12911940-12945026	chr1:12911940-12917939
ENSG00000243073	chr1	12946025	-	PRAMEF4	chr1:12939045-12946025	chr1:12917939-12957102	chr1:12945026-12951025
ENSG00000187545	chr1	12958101	-	PRAMEF10	chr1:12952727-12958101	chr1:12951025-12971449	chr1:12957102-12963101
ENSG00000204510	chr1	12976449	+	PRAMEF7	chr1:12976450-12980569	chr1:12963101-13006421	chr1:12971449-12977448
ENSG00000232423	chr1	13007420	-	PRAMEF6	chr1:12998181-13117751	chr1:12977448-13030542	chr1:13006421-13012420
ENSG00000204508	chr1	13035542	+	PRAMEF22	chr1:13035543-13038381	chr1:13012420-13051999	chr1:13030542-13036541
ENSG00000239810	chr1	13052998	-	WI2-3308P17.2	chr1:13052394-13052998	chr1:13036541-13354818	chr1:13051999-13057998
ENSG00000204502	chr1	13359818	+	PRAMEF5	chr1:13359819-13369057	chr1:13057998-13389766	chr1:13354818-13360817
ENSG00000182330	chr1	13390765	-	PRAMEF8	chr1:13386646-13390765	chr1:13360817-13416175	chr1:13389766-13395765
ENSG00000204501	chr1	13421175	+	PRAMEF9	chr1:13421176-13428191	chr1:13395765-13451657	chr1:13416175-13422174
ENSG00000204495	chr1	13452656	-	PRAMEF13	chr1:13447414-13452656	chr1:13422174-13476523	chr1:13451657-13457656
ENSG00000204491	chr1	13477522	-	PRAMEF18	chr1:13474689-13477522	chr1:13457656-13511065	chr1:13476523-13482522
ENSG00000204486	chr1	13516065	+	PRAMEF21	chr1:13516066-13526943	chr1:13482522-13636972	chr1:13511065-13517064
ENSG00000157358	chr1	13641972	+	PRAMEF15	chr1:13641973-13648988	chr1:13517064-13672512	chr1:13636972-13642971
ENSG00000204481	chr1	13673511	-	PRAMEF14	chr1:13668269-13673511	chr1:13642971-13697406	chr1:13672512-13678511
ENSG00000204480	chr1	13698405	-	PRAMEF19	chr1:13694889-13698405	chr1:13678511-13711091	chr1:13697406-13703405
ENSG00000204479	chr1	13716091	+	PRAMEF17	chr1:13716092-13719089	chr1:13703405-13731906	chr1:13711091-13717090
ENSG00000204478	chr1	13736906	+	PRAMEF20	chr1:13736907-13747803	chr1:13717090-13839544	chr1:13731906-13737905
ENSG00000162494	chr1	13840543	-	LRRC38	chr1:13801445-13840543	chr1:13737905-13904959	chr1:13839544-13845543
ENSG00000162493	chr1	13909959	+	PDPN	chr1:13909960-13944452	chr1:13845543-14026349	chr1:13904959-13910958
ENSG00000116731	chr1	14031349	+	PRDM2	chr1:14026693-14151574	chr1:13910958-14920199	chr1:14026349-14032348
ENSG00000189337	chr1	14925199	+	KAZN	chr1:14925200-15444539	chr1:14032348-15474027	chr1:14920199-14926198
ENSG00000171729	chr1	15479027	+	TMEM51	chr1:15479028-15546976	chr1:14926198-15731390	chr1:15474027-15480026
ENSG00000142634	chr1	15736390	+	EFHD2	chr1:15736391-15756839	chr1:15480026-15759934	chr1:15731390-15737389
ENSG00000162438	chr1	15764934	+	CTRC	chr1:15764935-15775737	chr1:15737389-15778223	chr1:15759934-15765933
ENSG00000142615	chr1	15783223	+	CELA2A	chr1:15783223-15798586	chr1:15765933-15797595	chr1:15778223-15784222
ENSG00000215704	chr1	15802595	+	CELA2B	chr1:15792404-15817895	chr1:15784222-15848307	chr1:15797595-15803594
ENSG00000116138	chr1	15853307	+	DNAJC16	chr1:15853308-15918874	chr1:15803594-15854306	chr1:15848307-15854306
ENSG00000132906	chr1	15850790	-	CASP9	chr1:15817327-15853029	chr1:15849791-15910606	chr1:15849791-15855790
ENSG00000116771	chr1	15911605	-	AGMAT	chr1:15898848-15911605	chr1:15855790-15938994	chr1:15910606-15916605
ENSG00000197312	chr1	15943994	+	DDI2	chr1:15943995-15995539	chr1:15916605-15981363	chr1:15938994-15944993
ENSG00000215695	chr1	15986363	+	RSC1A1	chr1:15986364-15988217	chr1:15944993-16005826	chr1:15981363-15987362
ENSG00000116786	chr1	16010826	+	PLEKHM2	chr1:16010827-16061264	chr1:15987362-16057899	chr1:16005826-16011825
ENSG00000162461	chr1	16062899	+	SLC25A34	chr1:16062900-16067891	chr1:16011825-16063916	chr1:16057899-16063898
ENSG00000162460	chr1	16068916	+	TMEM82	chr1:16068917-16074477	chr1:16063898-16085993	chr1:16063916-16069915
ENSG00000162458	chr1	16090993	+	FBLIM1	chr1:16083102-16113089	chr1:16069915-16169358	chr1:16085993-16091992
ENSG00000065526	chr1	16174358	+	SPEN	chr1:16174359-16266955	chr1:16091992-16301622	chr1:16169358-16175357
ENSG00000116809	chr1	16302621	-	ZBTB17	chr1:16268364-16302627	chr1:16175357-16343546	chr1:16301622-16307621
ENSG00000186510	chr1	16348546	+	CLCNKA	chr1:16345370-16360545	chr1:16307621-16349545	chr1:16343546-16349545
ENSG00000173641	chr1	16345285	-	HSPB7	chr1:16340523-16346089	chr1:16344286-16365271	chr1:16344286-16350285
ENSG00000184908	chr1	16370271	+	CLCNKB	chr1:16370272-16383803	chr1:16350285-16399122	chr1:16365271-16371270
ENSG00000185519	chr1	16400121	-	FAM131C	chr1:16384264-16400127	chr1:16371270-16481583	chr1:16399122-16405121
ENSG00000142627	chr1	16482582	-	EPHA2	chr1:16450832-16482582	chr1:16405121-16538105	chr1:16481583-16487582
ENSG00000142632	chr1	16539104	-	ARHGEF19	chr1:16524349-16539104	chr1:16487582-16555039	chr1:16538105-16544104
ENSG00000204377	chr1	16556038	-	C1orf134	chr1:16555368-16556038	chr1:16544104-16562658	chr1:16555039-16561038
ENSG00000132881	chr1	16563657	-	RSG1	chr1:16558195-16563657	chr1:16561038-16677950	chr1:16562658-16568657
ENSG00000037637	chr1	16678949	-	FBXO42	chr1:16573334-16678949	chr1:16568657-16762230	chr1:16677950-16683949
ENSG00000157191	chr1	16767230	+	NECAP2	chr1:16767167-16786573	chr1:16683949-16768229	chr1:16762230-16768229
ENSG00000187144	chr1	16763919	-	SPATA21	chr1:16713612-16763919	chr1:16762920-16938983	chr1:16762920-16768919
ENSG00000219481	chr1	16939982	-	NBPF1	chr1:16888814-16940057	chr1:16768919-17243444	chr1:16938983-16944982
ENSG00000058453	chr1	17248444	+	CROCC	chr1:17066768-17299474	chr1:16944982-17306331	chr1:17243444-17249443
ENSG00000117122	chr1	17307330	-	MFAP2	chr1:17300997-17307330	chr1:17249443-17337268	chr1:17306331-17312330
ENSG00000159363	chr1	17338267	-	ATP13A2	chr1:17312453-17338423	chr1:17312330-17379666	chr1:17337268-17343267
ENSG00000117118	chr1	17380665	-	SDHB	chr1:17345217-17380665	chr1:17343267-17444931	chr1:17379666-17385665
ENSG00000117115	chr1	17445930	-	PADI2	chr1:17393256-17445948	chr1:17385665-17526620	chr1:17444931-17450930
ENSG00000142623	chr1	17531620	+	PADI1	chr1:17531621-17572500	chr1:17450930-17570592	chr1:17526620-17532619
ENSG00000142619	chr1	17575592	+	PADI3	chr1:17575593-17610728	chr1:17532619-17629691	chr1:17570592-17576591
ENSG00000159339	chr1	17634691	+	PADI4	chr1:17634690-17690499	chr1:17576591-17765221	chr1:17629691-17635690
ENSG00000179051	chr1	17766220	-	RCC2	chr1:17733256-17766220	chr1:17635690-17861329	chr1:17765221-17771220
ENSG00000074964	chr1	17866329	+	ARHGEF10L	chr1:17866330-18024369	chr1:17771220-18076807	chr1:17861329-17867328
ENSG00000117148	chr1	18081807	+	ACTL8	chr1:18081808-18153558	chr1:17867328-18429239	chr1:18076807-18082806
ENSG00000117154	chr1	18434239	+	IGSF21	chr1:18434240-18704977	chr1:18082806-18802423	chr1:18429239-18435238
ENSG00000179023	chr1	18807423	+	KLHDC7A	chr1:18807424-18812478	chr1:18435238-18952499	chr1:18802423-18808422
ENSG00000009709	chr1	18957499	+	PAX7	chr1:18957500-19075360	chr1:18808422-19185177	chr1:18952499-18958498
ENSG00000179002	chr1	19186176	-	TAS1R2	chr1:19166093-19186176	chr1:18958498-19228276	chr1:19185177-19191176
ENSG00000159423	chr1	19229275	-	ALDH4A1	chr1:19197926-19229275	chr1:19191176-19282181	chr1:19228276-19234275
ENSG00000169991	chr1	19283180	-	IFFO2	chr1:19230775-19283180	chr1:19234275-19535771	chr1:19282181-19288180
ENSG00000127481	chr1	19536770	-	UBR4	chr1:19401000-19536770	chr1:19288180-19573032	chr1:19535771-19541770
ENSG00000053372	chr1	19578032	+	MRTO4	chr1:19578033-19586622	chr1:19541770-19579031	chr1:19573032-19579031
