gene_id	CHROM	POS	STRAND	gene_name	interval
ENSG00000242485	chr1	1342693	-	MRPL20	chr1:1337288-1342693
ENSG00000205116	chr1	1361507	+	TMEM88B	chr1:1361508-1363167
ENSG00000179403	chr1	1371050	+	VWA1	chr1:1370241-1378262
ENSG00000215915	chr1	1385068	+	ATAD3C	chr1:1385069-1405538
ENSG00000160072	chr1	1407148	+	ATAD3B	chr1:1407143-1433228
ENSG00000197785	chr1	1447554	+	ATAD3A	chr1:1447531-1470067
ENSG00000205090	chr1	1475737	-	TMEM240	chr1:1470554-1475833
ENSG00000160075	chr1	1510249	-	SSU72	chr1:1477053-1510249
ENSG00000228594	chr1	1535476	-	C1orf233	chr1:1533392-1535476
ENSG00000197530	chr1	1550822	+	MIB2	chr1:1550795-1565990
ENSG00000189409	chr1	1567473	+	MMP23B	chr1:1567474-1570639
ENSG00000248333	chr1	1588935	-	CDK11B	chr1:1570603-1590473
ENSG00000189339	chr1	1624083	-	SLC35E2B	chr1:1592939-1624167
ENSG00000008128	chr1	1655763	-	CDK11A	chr1:1634169-1655766
ENSG00000215790	chr1	1677431	-	SLC35E2	chr1:1656277-1677431
ENSG00000008130	chr1	1709909	-	NADK	chr1:1682671-1711896
ENSG00000078369	chr1	1822495	-	GNB1	chr1:1716729-1822495
ENSG00000169885	chr1	1846265	+	CALML6	chr1:1846266-1848735
ENSG00000178821	chr1	1850712	-	TMEM52	chr1:1849029-1850712
ENSG00000142609	chr1	1887154	-	C1orf222	chr1:1853396-1935276
ENSG00000187730	chr1	1950779	+	GABRD	chr1:1950780-1962192
ENSG00000067606	chr1	1981908	+	PRKCZ	chr1:1981909-2116834
ENSG00000162585	chr1	2126213	-	C1orf86	chr1:2115903-2144159
ENSG00000157933	chr1	2160133	+	SKI	chr1:2160134-2241558
ENSG00000157916	chr1	2323271	+	RER1	chr1:2323267-2336883
ENSG00000157911	chr1	2343969	-	PEX10	chr1:2336236-2345236
ENSG00000149527	chr1	2398897	+	PLCH2	chr1:2357419-2436969
ENSG00000157881	chr1	2458039	-	PANK4	chr1:2439972-2458039
ENSG00000197921	chr1	2461684	-	HES5	chr1:2460184-2461684
ENSG00000157873	chr1	2487804	+	TNFRSF14	chr1:2487078-2496821
ENSG00000157870	chr1	2518213	+	FAM213B	chr1:2517930-2522908
ENSG00000142606	chr1	2564429	-	MMEL1	chr1:2522078-2564481
ENSG00000169717	chr1	2938045	+	ACTRT2	chr1:2938046-2939465
ENSG00000142611	chr1	2985774	+	PRDM16	chr1:2985732-3355185
ENSG00000130762	chr1	3370989	+	ARHGEF16	chr1:3370990-3397677
ENSG00000162591	chr1	3528059	-	MEGF6	chr1:3406484-3528059
ENSG00000158109	chr1	3541565	+	TPRG1L	chr1:3541566-3546691
ENSG00000116213	chr1	3566637	-	WRAP73	chr1:3547331-3569325
ENSG00000078900	chr1	3569083	+	TP73	chr1:3569084-3652765
ENSG00000235169	chr1	3689351	+	SMIM1	chr1:3689352-3692546
ENSG00000130764	chr1	3713068	-	LRRC47	chr1:3696784-3713068
ENSG00000116198	chr1	3773763	-	CEP104	chr1:3728645-3773778
ENSG00000169598	chr1	3773844	+	DFFB	chr1:3773845-3801993
ENSG00000198912	chr1	3816849	-	C1orf174	chr1:3805689-3816857
ENSG00000196581	chr1	4715104	+	AJAP1	chr1:4714792-4852594
ENSG00000131697	chr1	6052531	-	NPHP4	chr1:5922871-6052533
ENSG00000069424	chr1	6105980	+	KCNAB2	chr1:6051526-6161253
ENSG00000116254	chr1	6240183	-	CHD5	chr1:6161853-6240183
ENSG00000116251	chr1	6259672	-	RPL22	chr1:6241329-6269449
ENSG00000158286	chr1	6266235	+	RNF207	chr1:6265535-6281359
ENSG00000116237	chr1	6296000	-	ICMT	chr1:6281253-6296032
ENSG00000173673	chr1	6304251	+	HES3	chr1:6304252-6305638
ENSG00000158292	chr1	6321035	-	GPR153	chr1:6307406-6321035
ENSG00000097021	chr1	6445873	-	ACOT7	chr1:6324329-6454451
ENSG00000069812	chr1	6479979	-	HES2	chr1:6472478-6484730
ENSG00000187017	chr1	6484847	+	ESPN	chr1:6484848-6521430
ENSG00000215788	chr1	6526235	-	TNFRSF25	chr1:6521211-6526255
ENSG00000171680	chr1	6557156	-	PLEKHG5	chr1:6526152-6580121
ENSG00000162408	chr1	6614595	-	NOL9	chr1:6581407-6614595
ENSG00000173662	chr1	6615240	+	TAS1R1	chr1:6615241-6639817
ENSG00000204859	chr1	6640107	+	ZBTB48	chr1:6640061-6649340
ENSG00000162413	chr1	6662929	-	KLHL21	chr1:6650784-6674667
ENSG00000116273	chr1	6673744	+	PHF13	chr1:6673745-6684093
ENSG00000041988	chr1	6684925	+	THAP3	chr1:6684926-6695646
ENSG00000007923	chr1	6761984	-	DNAJC11	chr1:6694228-6761984
ENSG00000171735	chr1	6845383	+	CAMTA1	chr1:6845384-7829766
ENSG00000049245	chr1	7831328	+	VAMP3	chr1:7831329-7841492
ENSG00000049246	chr1	7844762	+	PER3	chr1:7844380-7905237
ENSG00000049247	chr1	7913491	-	UTS2	chr1:7903143-7913572
ENSG00000049249	chr1	8000926	-	TNFRSF9	chr1:7979907-8000926
ENSG00000116288	chr1	8021751	+	PARK7	chr1:8014351-8045565
ENSG00000116285	chr1	8086368	-	ERRFI1	chr1:8064464-8086368
ENSG00000162426	chr1	8377885	+	SLC45A1	chr1:8377886-8404227
ENSG00000142599	chr1	8877524	-	RERE	chr1:8412457-8877702
ENSG00000074800	chr1	8938749	-	ENO1	chr1:8921061-8939308
ENSG00000131686	chr1	9005945	+	CA6	chr1:9005926-9035151
ENSG00000197241	chr1	9086404	-	SLC2A7	chr1:9063359-9086404
ENSG00000142583	chr1	9129775	-	SLC2A5	chr1:9095166-9148537
ENSG00000180758	chr1	9189229	-	GPR157	chr1:9160364-9189229
ENSG00000049239	chr1	9294833	+	H6PD	chr1:9294834-9331396
ENSG00000171621	chr1	9352938	+	SPSB1	chr1:9352939-9429591
ENSG00000171612	chr1	9599540	+	SLC25A33	chr1:9599541-9645237
ENSG00000188807	chr1	9648979	+	TMEM201	chr1:9648932-9674935
ENSG00000171608	chr1	9711802	+	PIK3CD	chr1:9711790-9789172
ENSG00000171603	chr1	9884584	-	CLSTN1	chr1:9789084-9884584
ENSG00000178585	chr1	9970321	-	CTNNBIP1	chr1:9908334-9970394
ENSG00000162441	chr1	10003387	-	LZIC	chr1:9982173-10003465
ENSG00000173614	chr1	10003485	+	NMNAT1	chr1:10003486-10045559
ENSG00000162444	chr1	10057273	+	RBP7	chr1:10057264-10076078
ENSG00000130939	chr1	10093653	+	UBE4B	chr1:10092890-10241297
ENSG00000054523	chr1	10270862	+	KIF1B	chr1:10270863-10441661
ENSG00000142657	chr1	10459136	+	PGD	chr1:10458649-10480201
ENSG00000251503	chr1	10490158	+	APITD1-CORT	chr1:10490159-10512210
ENSG00000241563	chr1	10509775	+	CORT	chr1:10509776-10511959
ENSG00000160049	chr1	10532583	-	DFFA	chr1:10516579-10532583
ENSG00000142655	chr1	10534943	+	PEX14	chr1:10532345-10690815
ENSG00000130940	chr1	10856705	-	CASZ1	chr1:10696661-10856707
ENSG00000120948	chr1	11072698	+	TARDBP	chr1:11072414-11085796
ENSG00000009724	chr1	11107280	-	MASP2	chr1:11086580-11107290
ENSG00000116649	chr1	11120081	-	SRM	chr1:11114641-11120081
ENSG00000171824	chr1	11159938	-	EXOSC10	chr1:11126675-11159938
ENSG00000171819	chr1	11249397	+	ANGPTL7	chr1:11249398-11256038
ENSG00000198793	chr1	11322564	-	MTOR	chr1:11166592-11322564
ENSG00000120942	chr1	11333262	+	UBIAD1	chr1:11333263-11356106
ENSG00000204624	chr1	11539294	+	PTCHD2	chr1:11539223-11597641
ENSG00000116661	chr1	11714739	-	FBXO2	chr1:11708424-11715842
ENSG00000132879	chr1	11714913	+	FBXO44	chr1:11714432-11723384
ENSG00000116663	chr1	11724180	+	FBXO6	chr1:11724181-11734411
ENSG00000116670	chr1	11751707	-	MAD2L2	chr1:11734537-11751707
ENSG00000162490	chr1	11751785	+	DRAXIN	chr1:11751786-11785914
ENSG00000177674	chr1	11796211	+	AGTRAP	chr1:11796141-11814859
ENSG00000177000	chr1	11863302	-	MTHFR	chr1:11845780-11866977
ENSG00000011021	chr1	11866267	+	CLCN6	chr1:11866207-11903201
ENSG00000175206	chr1	11907840	-	NPPA	chr1:11905766-11908402
ENSG00000120937	chr1	11918988	-	NPPB	chr1:11917521-11918988
ENSG00000116685	chr1	11986480	-	KIAA2013	chr1:11979648-11986485
ENSG00000083444	chr1	11994809	+	PLOD1	chr1:11994262-12035595
ENSG00000116688	chr1	12040368	+	MFN2	chr1:12040238-12073571
ENSG00000116691	chr1	12079522	+	MIIP	chr1:12079523-12092102
ENSG00000120949	chr1	12123433	+	TNFRSF8	chr1:12123434-12204264
ENSG00000028137	chr1	12227059	+	TNFRSF1B	chr1:12227060-12269285
ENSG00000048707	chr1	12290123	+	VPS13D	chr1:12290124-12572099
ENSG00000162496	chr1	12677737	-	DHRS3	chr1:12627939-12677737
ENSG00000204518	chr1	12704565	+	AADACL4	chr1:12704566-12727097
ENSG00000188984	chr1	12776145	+	AADACL3	chr1:12776118-12788726
ENSG00000116726	chr1	12834983	+	PRAMEF12	chr1:12834984-12838049
ENSG00000116721	chr1	12851545	+	PRAMEF1	chr1:12851546-12856777
ENSG00000204513	chr1	12891264	-	PRAMEF11	chr1:12884468-12891264
ENSG00000179172	chr1	12908578	-	HNRNPCL1	chr1:12907261-12908578
ENSG00000120952	chr1	12916940	+	PRAMEF2	chr1:12916941-12921764
ENSG00000243073	chr1	12946025	-	PRAMEF4	chr1:12939045-12946025
ENSG00000187545	chr1	12958101	-	PRAMEF10	chr1:12952727-12958101
ENSG00000204510	chr1	12976449	+	PRAMEF7	chr1:12976450-12980569
ENSG00000232423	chr1	13007420	-	PRAMEF6	chr1:12998181-13117751
ENSG00000204508	chr1	13035542	+	PRAMEF22	chr1:13035543-13038381
ENSG00000239810	chr1	13052998	-	WI2-3308P17.2	chr1:13052394-13052998
ENSG00000204502	chr1	13359818	+	PRAMEF5	chr1:13359819-13369057
ENSG00000182330	chr1	13390765	-	PRAMEF8	chr1:13386646-13390765
ENSG00000204501	chr1	13421175	+	PRAMEF9	chr1:13421176-13428191
ENSG00000204495	chr1	13452656	-	PRAMEF13	chr1:13447414-13452656
ENSG00000204491	chr1	13477522	-	PRAMEF18	chr1:13474689-13477522
ENSG00000204486	chr1	13516065	+	PRAMEF21	chr1:13516066-13526943
ENSG00000157358	chr1	13641972	+	PRAMEF15	chr1:13641973-13648988
ENSG00000204481	chr1	13673511	-	PRAMEF14	chr1:13668269-13673511
ENSG00000204480	chr1	13698405	-	PRAMEF19	chr1:13694889-13698405
ENSG00000204479	chr1	13716091	+	PRAMEF17	chr1:13716092-13719089
ENSG00000204478	chr1	13736906	+	PRAMEF20	chr1:13736907-13747803
ENSG00000162494	chr1	13840543	-	LRRC38	chr1:13801445-13840543
ENSG00000162493	chr1	13909959	+	PDPN	chr1:13909960-13944452
ENSG00000116731	chr1	14031349	+	PRDM2	chr1:14026693-14151574
ENSG00000189337	chr1	14925199	+	KAZN	chr1:14925200-15444539
ENSG00000171729	chr1	15479027	+	TMEM51	chr1:15479028-15546976
ENSG00000142634	chr1	15736390	+	EFHD2	chr1:15736391-15756839
ENSG00000162438	chr1	15764934	+	CTRC	chr1:15764935-15775737
ENSG00000142615	chr1	15783223	+	CELA2A	chr1:15783223-15798586
ENSG00000215704	chr1	15802595	+	CELA2B	chr1:15792404-15817895
ENSG00000132906	chr1	15850790	-	CASP9	chr1:15817327-15853029
ENSG00000116138	chr1	15853307	+	DNAJC16	chr1:15853308-15918874
ENSG00000116771	chr1	15911605	-	AGMAT	chr1:15898848-15911605
ENSG00000197312	chr1	15943994	+	DDI2	chr1:15943995-15995539
ENSG00000215695	chr1	15986363	+	RSC1A1	chr1:15986364-15988217
ENSG00000116786	chr1	16010826	+	PLEKHM2	chr1:16010827-16061264
ENSG00000162461	chr1	16062899	+	SLC25A34	chr1:16062900-16067891
ENSG00000162460	chr1	16068916	+	TMEM82	chr1:16068917-16074477
ENSG00000162458	chr1	16090993	+	FBLIM1	chr1:16083102-16113089
ENSG00000065526	chr1	16174358	+	SPEN	chr1:16174359-16266955
ENSG00000116809	chr1	16302621	-	ZBTB17	chr1:16268364-16302627
ENSG00000173641	chr1	16345285	-	HSPB7	chr1:16340523-16346089
ENSG00000186510	chr1	16348546	+	CLCNKA	chr1:16345370-16360545
ENSG00000184908	chr1	16370271	+	CLCNKB	chr1:16370272-16383803
ENSG00000185519	chr1	16400121	-	FAM131C	chr1:16384264-16400127
ENSG00000142627	chr1	16482582	-	EPHA2	chr1:16450832-16482582
ENSG00000142632	chr1	16539104	-	ARHGEF19	chr1:16524349-16539104
ENSG00000204377	chr1	16556038	-	C1orf134	chr1:16555368-16556038
ENSG00000132881	chr1	16563657	-	RSG1	chr1:16558195-16563657
ENSG00000037637	chr1	16678949	-	FBXO42	chr1:16573334-16678949
ENSG00000187144	chr1	16763919	-	SPATA21	chr1:16713612-16763919
ENSG00000157191	chr1	16767230	+	NECAP2	chr1:16767167-16786573
ENSG00000219481	chr1	16939982	-	NBPF1	chr1:16888814-16940057
ENSG00000058453	chr1	17248444	+	CROCC	chr1:17066768-17299474
ENSG00000117122	chr1	17307330	-	MFAP2	chr1:17300997-17307330
ENSG00000159363	chr1	17338267	-	ATP13A2	chr1:17312453-17338423
ENSG00000117118	chr1	17380665	-	SDHB	chr1:17345217-17380665
ENSG00000117115	chr1	17445930	-	PADI2	chr1:17393256-17445948
ENSG00000142623	chr1	17531620	+	PADI1	chr1:17531621-17572500
ENSG00000142619	chr1	17575592	+	PADI3	chr1:17575593-17610728
ENSG00000159339	chr1	17634691	+	PADI4	chr1:17634690-17690499
ENSG00000179051	chr1	17766220	-	RCC2	chr1:17733256-17766220
ENSG00000074964	chr1	17866329	+	ARHGEF10L	chr1:17866330-18024369
ENSG00000117148	chr1	18081807	+	ACTL8	chr1:18081808-18153558
ENSG00000117154	chr1	18434239	+	IGSF21	chr1:18434240-18704977
ENSG00000179023	chr1	18807423	+	KLHDC7A	chr1:18807424-18812478
ENSG00000009709	chr1	18957499	+	PAX7	chr1:18957500-19075360
ENSG00000179002	chr1	19186176	-	TAS1R2	chr1:19166093-19186176
ENSG00000159423	chr1	19229275	-	ALDH4A1	chr1:19197926-19229275
ENSG00000169991	chr1	19283180	-	IFFO2	chr1:19230775-19283180
ENSG00000127481	chr1	19536770	-	UBR4	chr1:19401000-19536770
ENSG00000053372	chr1	19578032	+	MRTO4	chr1:19578033-19586622
ENSG00000127463	chr1	19578046	-	EMC1	chr1:19542158-19578046
ENSG00000162482	chr1	19615744	-	AKR7A3	chr1:19609052-19615744
ENSG00000053371	chr1	19638640	-	AKR7A2	chr1:19630459-19638640
ENSG00000040487	chr1	19638821	+	PQLC2	chr1:19638820-19655794
ENSG00000077549	chr1	19811979	-	CAPZB	chr1:19665267-19812066
ENSG00000270136	chr1	19923472	+	MINOS1-NBL1	chr1:19923473-19984549
ENSG00000173436	chr1	19923483	+	MINOS1	chr1:19923477-19956314
ENSG00000158747	chr1	19969725	+	NBL1	chr1:19967048-19984945
ENSG00000158748	chr1	19991779	+	HTR6	chr1:19991780-20006055
ENSG00000162542	chr1	20126410	-	TMCO4	chr1:20008706-20126438
ENSG00000178828	chr1	20141771	-	RNF186	chr1:20140523-20141771
ENSG00000169914	chr1	20209005	+	OTUD3	chr1:20209006-20239438
ENSG00000188784	chr1	20250110	-	PLA2G2E	chr1:20246502-20250110
ENSG00000188257	chr1	20306909	-	PLA2G2A	chr1:20301925-20306932
ENSG00000127472	chr1	20396700	+	PLA2G5	chr1:20354672-20417683
ENSG00000117215	chr1	20446050	-	PLA2G2D	chr1:20438432-20446050
ENSG00000158786	chr1	20465818	+	PLA2G2F	chr1:20465819-20476879
ENSG00000187980	chr1	20503917	-	PLA2G2C	chr1:20487746-20503917
ENSG00000162543	chr1	20512577	+	UBXN10	chr1:20512578-20522541
ENSG00000158816	chr1	20617411	+	VWA5B1	chr1:20617412-20681387
ENSG00000162545	chr1	20812713	-	CAMK2N1	chr1:20808884-20812713
ENSG00000090432	chr1	20834654	-	MUL1	chr1:20825943-20834654
ENSG00000158825	chr1	20915440	+	CDA	chr1:20915441-20945401
ENSG00000158828	chr1	20959947	+	PINK1	chr1:20959948-20978004
ENSG00000244038	chr1	20988000	-	DDOST	chr1:20978270-20988000
ENSG00000117245	chr1	21044510	-	KIF17	chr1:20990507-21044510
ENSG00000189410	chr1	21059029	-	SH2D5	chr1:21046225-21059330
ENSG00000127483	chr1	21113181	-	HP1BP3	chr1:21069154-21113816
ENSG00000075151	chr1	21503343	-	EIF4G3	chr1:21132963-21503377
ENSG00000117298	chr1	21616982	-	ECE1	chr1:21543740-21671997
ENSG00000142794	chr1	21766630	+	NBPF3	chr1:21766621-21811498
ENSG00000162551	chr1	21835864	+	ALPL	chr1:21835858-21904905
ENSG00000076864	chr1	21978348	-	RAP1GAP	chr1:21922708-21995801
ENSG00000090686	chr1	22110099	-	USP48	chr1:22004791-22110099
ENSG00000187942	chr1	22138757	+	LDLRAD2	chr1:22138758-22151714
ENSG00000142798	chr1	22263790	-	HSPG2	chr1:22148738-22263790
ENSG00000219073	chr1	22303513	+	CELA3B	chr1:22303514-22325135
ENSG00000142789	chr1	22328148	+	CELA3A	chr1:22328149-22339032
ENSG00000070831	chr1	22379160	+	CDC42	chr1:22379120-22419437
ENSG00000162552	chr1	22469459	-	WNT4	chr1:22443798-22470462
ENSG00000184677	chr1	22778343	+	ZBTB40	chr1:22778344-22857650
ENSG00000070886	chr1	22890056	+	EPHA8	chr1:22890057-22930087
ENSG00000173372	chr1	22962998	+	C1QA	chr1:22962999-22966101
ENSG00000159189	chr1	22970125	+	C1QC	chr1:22970123-22974603
ENSG00000173369	chr1	22979681	+	C1QB	chr1:22979255-22988031
ENSG00000133216	chr1	23037462	+	EPHB2	chr1:23037332-23241818
ENSG00000004487	chr1	23345985	+	KDM1A	chr1:23345941-23410182
ENSG00000169641	chr1	23504301	-	LUZP1	chr1:23410516-23504301
ENSG00000179546	chr1	23521222	-	HTR1D	chr1:23516993-23521222
ENSG00000125944	chr1	23670803	-	HNRNPR	chr1:23630264-23670829
ENSG00000125945	chr1	23695935	-	ZNF436	chr1:23685941-23695935
ENSG00000204219	chr1	23751233	-	TCEA3	chr1:23707554-23751233
ENSG00000088280	chr1	23810671	-	ASAP3	chr1:23755056-23811061
ENSG00000007968	chr1	23857712	-	E2F2	chr1:23832922-23857712
ENSG00000117318	chr1	23886285	-	ID3	chr1:23884409-23886285
ENSG00000197880	chr1	23953823	+	MDS2	chr1:23907985-23967058
ENSG00000142676	chr1	24018268	+	RPL11	chr1:24018269-24022915
ENSG00000011007	chr1	24069644	+	TCEB3	chr1:24069645-24088549
ENSG00000057757	chr1	24104894	+	PITHD1	chr1:24104895-24114722
ENSG00000011009	chr1	24117459	+	LYPLA2	chr1:24117460-24122029
ENSG00000117308	chr1	24126892	-	GALE	chr1:24122089-24127271
ENSG00000117305	chr1	24151949	-	HMGCL	chr1:24128375-24165110
ENSG00000179163	chr1	24194784	-	FUCA1	chr1:24171567-24194784
ENSG00000188822	chr1	24285549	-	CNR2	chr1:24197016-24285549
ENSG00000189266	chr1	24286301	+	PNRC2	chr1:24285599-24289952
ENSG00000188529	chr1	24306809	-	SRSF10	chr1:24291294-24307417
ENSG00000142661	chr1	24438665	-	MYOM3	chr1:24382525-24438665
ENSG00000142677	chr1	24469611	-	IL22RA1	chr1:24446261-24469611
ENSG00000185436	chr1	24513751	-	IFNLR1	chr1:24480647-24514449
ENSG00000158055	chr1	24645914	+	GRHL3	chr1:24645812-24690972
ENSG00000001460	chr1	24741587	-	STPG1	chr1:24683489-24743424
ENSG00000001461	chr1	24742283	+	NIPAL3	chr1:24742284-24799466
ENSG00000117602	chr1	24829386	+	RCAN3	chr1:24829387-24867530
ENSG00000184454	chr1	24882601	+	NCMAP	chr1:24882602-24935819
ENSG00000133226	chr1	24969502	+	SRRM1	chr1:24958207-24999758
ENSG00000169504	chr1	25071847	+	CLIC4	chr1:25071848-25170815
ENSG00000020633	chr1	25291501	-	RUNX3	chr1:25226002-25291612
ENSG00000117614	chr1	25558984	-	SYF2	chr1:25549170-25558993
ENSG00000117616	chr1	25574010	-	C1orf63	chr1:25568728-25664704
ENSG00000187010	chr1	25598883	+	RHD	chr1:25598884-25656936
ENSG00000183726	chr1	25664407	+	TMEM50A	chr1:25664408-25688852
ENSG00000188672	chr1	25747336	-	RHCE	chr1:25688740-25756683
ENSG00000204178	chr1	25757410	+	TMEM57	chr1:25757388-25826700
ENSG00000157978	chr1	25870070	+	LDLRAP1	chr1:25870071-25895377
ENSG00000117643	chr1	25943958	+	MAN1C1	chr1:25943959-26112698
ENSG00000162430	chr1	26126666	+	SEPN1	chr1:26126667-26144713
ENSG00000117640	chr1	26146683	+	MTFR1L	chr1:26145131-26159432
ENSG00000127423	chr1	26185903	-	AUNIP	chr1:26158414-26185903
ENSG00000182749	chr1	26197744	-	PAQR7	chr1:26187701-26197744
ENSG00000117632	chr1	26232957	-	STMN1	chr1:26210672-26233482
ENSG00000158006	chr1	26324648	-	PAFAH2	chr1:26286258-26324648
ENSG00000158008	chr1	26348270	+	EXTL1	chr1:26346375-26362955
ENSG00000158014	chr1	26372624	-	SLC30A2	chr1:26363743-26372624
ENSG00000158022	chr1	26394124	-	TRIM63	chr1:26377795-26394927
ENSG00000175087	chr1	26438327	+	PDIK1L	chr1:26437664-26452034
ENSG00000142684	chr1	26496361	+	ZNF593	chr1:26496362-26498551
ENSG00000142675	chr1	26503893	+	CNKSR1	chr1:26503894-26516377
ENSG00000188782	chr1	26517051	+	CATSPER4	chr1:26517052-26529459
ENSG00000130695	chr1	26560692	+	CEP85	chr1:26560691-26605299
ENSG00000142669	chr1	26605666	+	SH3BGRL3	chr1:26605667-26608007
ENSG00000169442	chr1	26644447	+	CD52	chr1:26644448-26647014
ENSG00000158062	chr1	26644854	-	UBXN11	chr1:26607819-26644854
ENSG00000176092	chr1	26670576	-	AIM1L	chr1:26648350-26680621
ENSG00000176083	chr1	26699266	-	ZNF683	chr1:26688125-26701013
ENSG00000131914	chr1	26737268	+	LIN28A	chr1:26737269-26756213
ENSG00000117682	chr1	26758845	+	DHDDS	chr1:26758773-26797785
ENSG00000198830	chr1	26799009	+	HMGN2	chr1:26798941-26802463
ENSG00000117676	chr1	26872342	+	RPS6KA1	chr1:26856252-26901521
ENSG00000117713	chr1	27022523	+	ARID1A	chr1:27022524-27108595
ENSG00000060642	chr1	27114685	+	PIGV	chr1:27113963-27124889
ENSG00000204160	chr1	27153200	+	ZDHHC18	chr1:27153201-27184093
ENSG00000175793	chr1	27189632	+	SFN	chr1:27189633-27190947
ENSG00000142751	chr1	27216788	-	GPN2	chr1:27202624-27216788
ENSG00000198746	chr1	27226957	-	GPATCH3	chr1:27216979-27226957
ENSG00000131910	chr1	27240457	-	NR0B2	chr1:27237980-27240457
ENSG00000090273	chr1	27248216	+	NUDC	chr1:27226729-27273353
ENSG00000175707	chr1	27286897	-	C1orf172	chr1:27276053-27286897
ENSG00000253368	chr1	27320197	+	TRNP1	chr1:27320198-27327389
ENSG00000158246	chr1	27339327	-	FAM46B	chr1:27331511-27339327
ENSG00000090020	chr1	27481401	-	SLC9A1	chr1:27425306-27493472
ENSG00000142784	chr1	27561158	+	WDTC1	chr1:27561007-27635110
ENSG00000186501	chr1	27648650	+	TMEM222	chr1:27648651-27662891
ENSG00000142765	chr1	27671363	+	SYTL1	chr1:27668513-27680421
ENSG00000142733	chr1	27693383	-	MAP3K6	chr1:27681675-27693383
ENSG00000142748	chr1	27701315	-	FCN3	chr1:27695603-27701315
ENSG00000174950	chr1	27709793	-	CD164L2	chr1:27705666-27709870
ENSG00000181773	chr1	27719147	+	GPR3	chr1:27719148-27722318
ENSG00000158195	chr1	27816669	-	WASF2	chr1:27730730-27816669
ENSG00000126705	chr1	27930143	-	AHDC1	chr1:27860546-27930942
ENSG00000000938	chr1	27961788	-	FGR	chr1:27938575-27961788
ENSG00000126709	chr1	27998689	-	IFI6	chr1:27992572-27998729
ENSG00000009780	chr1	28052567	+	FAM76A	chr1:28052490-28089633
ENSG00000117758	chr1	28099693	+	STX12	chr1:28099694-28150963
ENSG00000117751	chr1	28157288	+	PPP1R8	chr1:28157289-28178187
ENSG00000130775	chr1	28199078	+	THEMIS2	chr1:28199055-28213196
ENSG00000117748	chr1	28241254	-	RPA2	chr1:28218035-28241257
ENSG00000130768	chr1	28261503	+	SMPDL3B	chr1:28261504-28285668
ENSG00000158156	chr1	28285972	+	XKR8	chr1:28285973-28294607
ENSG00000158161	chr1	28415207	-	EYA3	chr1:28296855-28415207
ENSG00000169403	chr1	28503699	-	PTAFR	chr1:28473677-28520447
ENSG00000126698	chr1	28559536	-	DNAJC8	chr1:28525967-28559536
ENSG00000130770	chr1	28562643	+	ATPIF1	chr1:28562620-28573417
ENSG00000130766	chr1	28586037	+	SESN2	chr1:28586038-28609002
ENSG00000130772	chr1	28655548	+	MED18	chr1:28655513-28662476
ENSG00000204138	chr1	28764681	+	PHACTR4	chr1:28696114-28826881
ENSG00000180198	chr1	28844768	+	RCC1	chr1:28832455-28865812
ENSG00000180098	chr1	28879596	+	TRNAU1AP	chr1:28879597-28905051
ENSG00000188060	chr1	28918711	+	RAB42	chr1:28918712-28921955
